GENDER,POSTAL CODE,EMPLOYMENT STATUS,HIGHEST EDUCATION LEVEL,CURRENT / LAST EMPLOYER NAME,CURRENT / LAST MONTHLY SALARY,SOURCE,ATTENDACE,EVENT TITLE,TYPE OF EVENT,DATE OF EVENT,Profile,Age,Age Range,Month,Location,District
Male,750402,Employed - Part Time,Degree,Admin / Secretarial,"Below SGD 3,000",CGH,Yes,Healthcare and Community Care Sector,VJI,6/1/2025,PMET,27,20-29,Jan,"Yishun, Sembawang",North West
Male,259986,Freelancer,Master and Above,Consulting,"SGD 5,000 to 6,999",CGH,No,Healthcare and Community Care Sector,VJI,6/1/2025,PMET,66,>60,Jan,"Bukit Timah, Holland",South West
Male,310174,Unemployed 0 to less than 3 months,Degree,General Management,"SGD 7,000 to 9,999",CGH,Yes,Healthcare and Community Care Sector,VJI,6/1/2025,PMET,64,>60,Jan,"Balestier, Toa Payoh",Central
Male,659246,Freelancer,Degree,Consulting,"SGD 3,000 to 4,999",CGH,No,Healthcare and Community Care Sector,VJI,6/1/2025,PMET,64,>60,Jan,"Hillview, Choa Chu Kang",South West
Male,330007,Self-Employed,A Level,Sales / Retail,"SGD 5,000 to 6,999",CGH,No,Healthcare and Community Care Sector,VJI,6/1/2025,RnF,63,>60,Jan,"Balestier, Toa Payoh",Central
Male,387869,Unemployed 3 to less than 6 months,Degree,Marketing / Public Relations,"SGD 5,000 to 6,999",CGH,No,Healthcare and Community Care Sector,VJI,6/1/2025,PMET,59,50-59,Jan,"Geylang, Eunos",South East
Male,786699,Employed - Full Time,Master and Above,Information Technology,"SGD 10,000 & above",CGH,Yes,Healthcare and Community Care Sector,VJI,6/1/2025,PMET,58,50-59,Jan,"Upper Thomson, Springleaf",North West
Male,650202,Employed - Full Time,Master and Above,Healthcare / Pharmaceutical,"SGD 5,000 to 6,999",CGH,No,Healthcare and Community Care Sector,VJI,6/1/2025,PMET,67,>60,Jan,"Hillview, Choa Chu Kang",South West
Male,640647,Unemployed 6 to less than 12 months,Degree,Engineering,"SGD 5,000 to 6,999",CGH,No,Healthcare and Community Care Sector,VJI,6/1/2025,PMET,65,>60,Jan,Jurong,South West
Female,534203,Employed - Full Time,Master and Above,Others,"SGD 5,000 to 6,999",CGH,No,Healthcare and Community Care Sector,VJI,6/1/2025,PMET,58,50-59,Jan,"Hougang, Punggol",North East
Male,570260,Unemployed 0 to less than 3 months,Diploma,Customer Service,"SGD 3,000 to 4,999",CGH,No,Healthcare and Community Care Sector,VJI,6/1/2025,PMET,56,50-59,Jan,"Bishan, Ang Mo Kio",Central
Male,560114,Unemployed 12 months and more,Master and Above,General Management,"SGD 7,000 to 9,999",CGH,No,Healthcare and Community Care Sector,VJI,6/1/2025,PMET,56,50-59,Jan,"Bishan, Ang Mo Kio",Central
Female,461061,Retrenched,Diploma,Advertising / Media,"SGD 10,000 & above",CGH,No,Healthcare and Community Care Sector,VJI,6/1/2025,PMET,55,50-59,Jan,"Bedok, Upper East Coast",South East
Male,677723,Retrenched,Master and Above,Marketing / Public Relations,"SGD 10,000 & above",CGH,No,Healthcare and Community Care Sector,VJI,6/1/2025,PMET,55,50-59,Jan,"Hillview, Choa Chu Kang",South West
Male,561591,Unemployed 6 to less than 12 months,Diploma,General Management,"SGD 5,000 to 6,999",CGH,No,Healthcare and Community Care Sector,VJI,6/1/2025,PMET,54,50-59,Jan,"Bishan, Ang Mo Kio",Central
Female,102092,Retrenched,Degree,Marketing / Public Relations,"SGD 7,000 to 9,999",CGH,Yes,Healthcare and Community Care Sector,VJI,6/1/2025,PMET,54,50-59,Jan,Telok Blangah,South West
Male,560554,Unemployed 6 to less than 12 months,Diploma,Advertising / Media,"SGD 10,000 & above",CGH,No,Healthcare and Community Care Sector,VJI,6/1/2025,PMET,54,50-59,Jan,"Bishan, Ang Mo Kio",Central
Female,787066,Employed - Full Time,Degree,Logistics / Supply Chain,"SGD 10,000 & above",CGH,Yes,Healthcare and Community Care Sector,VJI,6/1/2025,PMET,53,50-59,Jan,"Upper Thomson, Springleaf",North West
Male,387394,Retrenched,Degree,Sales / Retail,"SGD 10,000 & above",CGH,Yes,Healthcare and Community Care Sector,VJI,6/1/2025,PMET,51,50-59,Jan,"Geylang, Eunos",South East
Male,520731,Retrenched,Degree,Manufacturing,"SGD 3,000 to 4,999",CGH,Yes,Healthcare and Community Care Sector,VJI,6/1/2025,PMET,51,50-59,Jan,"Tampines, Pasir Ris",North East
Female,760449,Unemployed 0 to less than 3 months,Degree,Telecommunications,"SGD 7,000 to 9,999",CGH,No,Healthcare and Community Care Sector,VJI,6/1/2025,PMET,51,50-59,Jan,"Yishun, Sembawang",North West
Female,528825,Self-Employed,Degree,Banking and Finance,"SGD 5,000 to 6,999",CGH,Yes,Healthcare and Community Care Sector,VJI,6/1/2025,PMET,50,50-59,Jan,"Tampines, Pasir Ris",North East
Male,768865,Unemployed 0 to less than 3 months,Degree,Sales / Retail,"SGD 7,000 to 9,999",CGH,No,Healthcare and Community Care Sector,VJI,6/1/2025,PMET,50,50-59,Jan,"Yishun, Sembawang",North West
